Time (sec),filt465,filt405
177.733632,138.7292644,52.12762736
177.7965465,138.9556547,52.11058869
177.859461,138.9509987,52.09704437
177.9223757,138.2241529,52.18204769
177.9852902,136.6281236,52.32401476
178.0482049,134.9492985,52.54875823
178.1111195,134.623822,52.72184481
178.1740339,135.8486624,52.68755315
178.2369484,137.5899489,52.48928838
178.2998631,138.4341758,52.2082202
178.3627777,138.1932556,51.9822745
178.4256921,138.0591603,51.92535836
178.4886066,137.9726938,52.02306855
178.5515213,137.1579152,52.20041991
178.6144359,135.9489608,52.28274426
178.6773503,135.0719855,52.14647532
178.7402648,135.2564379,51.90875147
178.8031795,135.8941872,51.79468486
178.8660941,135.9056662,51.84149376
178.9290087,135.6940036,51.95496829
178.9919233,136.1229092,52.07957542
179.0548377,136.5620037,52.14779251
179.1177523,135.7886575,52.13367819
179.1806669,134.1757346,52.03100001
179.2435815,133.106404,51.93077276
179.3064959,133.3396001,52.06626705
179.3694105,134.5703514,52.34797614
179.4323251,135.9897897,52.44628384
179.4952397,137.2993111,52.33721155
179.5581543,137.9809509,52.23239716
179.6210689,137.512714,52.25331774
179.6839833,136.7343097,52.32822908
179.7468979,137.2856257,52.31878197
179.8098125,139.7679896,52.17653199
179.8727271,142.9718092,52.04246867
179.9356415,145.3995106,52.01834174
179.9985561,147.463463,52.04940312
180.0614707,149.8570604,52.0701079
180.1243853,151.5626588,51.98380729
180.1872997,151.5861434,51.89337075
180.2502143,150.1914572,51.91878561
180.3131289,148.1138909,51.99834718
180.3760435,145.8540599,52.08898681
180.4389582,143.5527401,52.12162967
180.5018727,141.4200288,52.04777932
180.5647871,139.6420747,51.94465191
180.6277017,138.4619194,52.00953113
180.6906164,137.8908161,52.23741872
180.7535309,137.5540313,52.39193719
180.8164454,136.7717552,52.36883321
180.8793599,135.6412509,52.24816276
180.9422746,135.4414975,52.19374552
181.0051891,136.5554909,52.27667095
181.0681038,138.1611632,52.27192997
181.1310183,139.3622685,52.06830418
181.1939328,139.893829,51.96830002
181.2568473,139.6297387,52.2333801
181.319762,138.5598517,52.69481114
181.3826766,137.2235517,52.92945084
181.445591,136.5889527,52.76572667
181.5085055,138.2089899,52.45434227
181.5714202,143.4703751,52.32901225
181.6343348,151.8748836,52.35797632
181.6972492,159.9528029,52.29543732
181.7601637,163.2335157,52.12726531
181.8230784,160.2614277,51.98822345
181.885993,153.38866,52.00885815
181.9489076,146.4322513,52.21465886
182.0118222,141.7469452,52.44896902
182.0747366,139.6719161,52.47162478
182.1376512,139.1686672,52.27992238
182.2005658,138.6863528,51.99623648
182.2634804,137.8593672,51.8277755
182.3263948,138.0186286,51.85932565
182.3893094,140.2084973,51.97364478
182.452224,145.069451,52.0478111
182.5151386,151.6389611,51.98258601
182.5780532,157.4768973,51.86862087
182.6409678,160.715082,51.90027523
182.7038822,161.1486005,52.10279084
182.7667968,160.0612411,52.28996365
182.8297114,158.7686193,52.26862343
182.892626,159.0778292,52.07536344
182.9555404,162.063193,51.92782012
183.018455,165.5827182,51.90649451
183.0813696,165.9855299,51.84594351
183.1442842,162.4752731,51.74211544
183.2071986,157.8587635,51.85106852
183.2701132,155.1175382,52.16753023
183.3330278,154.5868846,52.40506447
183.3959424,155.126284,52.3431991
183.4588571,156.4701349,52.02768347
183.5217716,159.5781961,51.78564938
183.584686,166.3131834,51.87800837
183.6476006,176.5743207,52.07996529
183.7105153,186.6194325,52.07941351
183.7734298,192.5398258,51.90655518
183.8363442,192.9622453,51.71395998
183.8992588,188.9516596,51.63883951
183.9621735,182.6414366,51.73466776
184.025088,176.1051071,51.90197142
184.0880024,170.7122267,52.0041315
184.150917,167.0361871,51.99892377
184.2138317,164.9204324,51.94408811
184.2767462,163.7683435,51.9279575
184.3396609,163.2785991,51.92798196
184.4025754,162.6671292,51.80376654
184.4654899,161.2510637,51.58713698
184.5284044,160.043712,51.46896642
184.5913191,160.4761082,51.57279303
184.6542336,162.4682645,51.82978941
184.7171481,164.663483,52.04688159
184.7800626,166.3421103,52.02168463
184.8429773,167.8747705,51.83145183
184.9058918,168.832776,51.71576056
184.9688065,168.178698,51.79226416
185.0317211,165.7716373,51.92943559
185.0946355,162.7219958,51.90884962
185.15755,160.0708149,51.76761864
185.2204647,157.2199735,51.65673459
185.2833793,153.698891,51.66841699
185.3462937,150.4765704,51.78270582
185.4092082,148.3409146,51.93881373
185.4721229,147.2444973,52.01887944
185.5350375,147.1444873,51.9492696
185.5979519,148.458828,51.80814572
185.6608664,151.8472854,51.78866105
185.7237811,157.2545306,51.96541886
185.7866957,163.4217126,52.1075263
185.8496103,168.3657654,52.01794253
185.9125249,170.6938312,51.84878799
185.9754393,170.2407927,51.82749976
186.0383539,167.3735706,51.9180905
186.1012685,163.4147172,52.01773855
186.1641831,160.6157809,52.03109747
186.2270975,160.402715,51.93524335
186.2900121,161.6929615,51.90456231
186.3529267,162.9492384,52.06026559
186.4158413,163.7514687,52.25263127
186.478756,164.1324628,52.29349248
186.5416705,164.2337426,52.16431751
186.6045849,164.6165548,51.98701537
186.6674995,165.1841691,51.92872988
186.7304142,164.2862451,51.96699999
186.7933287,161.3223106,51.90847606
186.8562431,157.2208177,51.68388455
186.9191577,153.1921923,51.52300356
186.9820724,150.8731277,51.60112321
187.0449869,151.9197295,51.84139543
187.1079013,155.9303539,52.03445684
187.1708159,159.2522971,51.97632928
187.2337306,159.1037993,51.73933015
187.2966451,156.421697,51.61547668
187.3595598,153.5339729,51.74576591
187.4224743,151.586721,51.99013281
187.4853888,150.3696061,52.11779349
187.5483033,148.989354,52.00887667
187.611218,148.2652286,51.8170929
187.6741325,150.3659608,51.70936301
187.737047,155.1599756,51.66955934
187.7999615,159.509885,51.6553258
187.8628762,160.3310048,51.56571609
187.9257907,157.9929382,51.44532848
187.9887054,155.0916419,51.56629477
188.05162,153.2926096,51.96187377
188.1145344,152.2548525,52.31315252
188.1774489,151.0079528,52.2964213
188.2403636,149.3648509,51.96256596
188.3032782,147.9320946,51.73795384
188.3661926,146.9725259,51.87463937
188.4291071,146.115541,52.08017914
188.4920218,145.2423787,52.0022352
188.5549364,145.0348066,51.70227109
188.6178508,145.8941448,51.53276419
188.6807653,147.6342401,51.72782091
188.74368,149.0899678,52.12988013
188.8065946,148.5437768,52.32624543
188.8695092,145.7817056,52.09612227
188.9324238,142.5607367,51.68790785
188.9953382,140.3698802,51.51477702
189.0582528,139.2055295,51.64694331
189.1211674,138.7343964,51.86779524
189.184082,139.033918,51.92062882
189.2469964,140.0900673,51.78522203
189.309911,141.5914477,51.63938699
189.3728256,142.426564,51.65522862
